SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING,Security ID,LTP
BAJAJHCARE,Bajaj Healthcare Limited,EQ,25-Nov-21,6863,415.6
BAJAJHFL,Bajaj Housing Finance Limited,EQ,16-Sep-24,25270,95.53
BAJAJHIND,Bajaj Hindusthan Sugar Limited,EQ,10-May-95,308,19
BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,15-Mar-95,305,11063
BAJAJINDEF,Indef Manufacturing Limited,EQ,21-Feb-25,29678,319.5
BAJEL,Bajel Projects Limited,EQ,19-Dec-23,20531,168.14
BAJFINANCE,Bajaj Finance Limited,EQ,01-Apr-03,317,1016.7
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,EQ,12-Sep-24,25203,39.96
BALAJITELE,Balaji Telefilms Limited,EQ,22-Nov-00,9158,103.95
BALAMINES,Balaji Amines Limited,EQ,05-Apr-07,14501,1142.2
BALAXI,BALAXI PHARMACEUTICALS LIMITED,EQ,30-Nov-15,11309,32.13
BALKRISHNA,Balkrishna Paper Mills Limited,EQ,28-Jul-15,10181,19.94
BALKRISIND,Balkrishna Industries Limited,EQ,27-Jan-06,335,2324.6
BALMLAWRIE,Balmer Lawrie & Company Limited,EQ,06-Jul-95,338,176.16
BALPHARMA,Bal Pharma Limited,EQ,08-May-06,13441,73.33
BALRAMCHIN,Balrampur Chini Mills Limited,EQ,08-Feb-95,341,416.35
BALUFORGE,Balu Forge Industries Limited,EQ,29-Apr-24,23607,641.35
BANARBEADS,Banaras Beads Limited,EQ,07-Jul-95,347,128.73
BANARISUG,Bannari Amman Sugars Limited,EQ,28-May-03,350,3601.4
BANCOINDIA,Banco Products (I) Limited,EQ,22-Dec-06,13880,728.5
BANDHANBNK,Bandhan Bank Limited,EQ,27-Mar-18,2263,141
BANG,Bang Overseas Limited,EQ,20-Feb-08,15303,50.85
BANKA,Banka BioLoo Limited,EQ,29-Oct-20,822,65.58
BANKBARODA,Bank of Baroda,EQ,19-Feb-97,4668,289.85
BANKINDIA,Bank of India,EQ,30-Apr-97,4745,141.64
BANSALWIRE,Bansal Wire Industries Limited,EQ,10-Jul-24,24386,316.9
BANSWRAS,Banswara Syntex Limited,EQ,11-Apr-07,14511,115.99
BASF,BASF India Limited,EQ,17-May-95,368,4021.4
BASML,Bannari Amman Spinning Mills Limited,EQ,14-Nov-05,12034,27.93
BATAINDIA,Bata India Limited,EQ,18-Jun-03,371,984.2
BAYERCROP,Bayer Cropscience Limited,EQ,08-Jan-10,17927,4389.7
BBL,Bharat Bijlee Limited,EQ,21-Nov-06,13761,2785.1
BBOX,Black Box Limited,EQ,22-Jul-03,3435,526.1
BBTC,Bombay Burmah Trading Corporation Limited,EQ,03-Apr-96,380,1893.4
BBTCL,B&B Triplewall Containers Limited,EQ,23-Nov-22,12153,195.12
BCG,Brightcom Group Limited,EQ,08-May-15,8833,11.39
BCLIND,Bcl Industries Limited,EQ,04-Mar-21,2513,31.93
BDL,Bharat Dynamics Limited,EQ,23-Mar-18,2144,1427.4
BEARDSELL,Beardsell Limited,EQ,13-Jan-15,17933,30.23
BECTORFOOD,Mrs. Bectors Food Specialities Limited,EQ,24-Dec-20,1628,1299.9
BEDMUTHA,Bedmutha Industries Limited,EQ,14-Oct-10,20196,101.36
BEL,Bharat Electronics Limited,EQ,19-Jul-00,383,389.45
BELLACASA,Bella Casa Fashion & Retail Limited,EQ,18-Jul-25,757938,401.9
BELRISE,Belrise Industries Limited,EQ,28-May-25,757102,158.54
BEML,BEML Limited,EQ,05-Nov-03,395,1683.6
BEPL,Bhansali Engineering Polymers Limited,EQ,21-Mar-05,419,88.23
BERGEPAINT,Berger Paints (I) Limited,EQ,24-Nov-99,404,539.95
BESTAGRO,Best Agrolife Limited,EQ,10-Apr-24,2306,372.7
BETA,Beta Drugs Limited,EQ,24-Nov-25,759842,1630.7
BFINVEST,BF Investment Limited,EQ,14-Jan-11,21113,406
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,EQ,18-Oct-21,6164,236.05
BHAGERIA,Bhageria Industries Limited,EQ,02-Mar-16,13400,178.79
